State,Gingrich,Paul,Romney,Santorum,Others
AL,182197,30892,180250,214545,13858
AR,7448,20267,103164,20137,0
AZ,74110,38753,216805,122088,6875
CA,64037,172160,1325179,90995,18333
CO,8445,7759,23012,26614,126
CT,6135,8014,40265,4078,1168
DC,477,535,3122,0,312
DE,7741,3017,16143,1690,0
FL,533117,117104,775014,222799,21613
GA,424918,58968,233177,176159,7123
IA,16163,26036,29805,29839,19658
ID,940,8086,27514,8115,17
IL,73362,85872,430535,322831,9181
IN,41087,99628,413657,85255,0
KS,4298,3767,6250,15290,252
KY,10445,22044,117599,15654,10341
LA,29655,11460,49749,91305,4208
MA,16990,35037,265100,44255,4186
MD,26088,22698,117527,69020,3654
ME,391,2030,2269,1052,72
MI,65016,115712,409899,377521,29024
MN,5272,13228,8222,21932,0
MO,0,30641,63826,138957,0
MS,90409,12749,88715,94981,3081
MT,6080,20119,95690,12482,5533
NC,73867,107109,634902,100690,50333
ND,962,3186,2691,4510,0
NE,9523,18199,129548,25537,0
NH,23411,56848,97532,23362,46588
NJ,7094,23612,184732,11892,0
NM,5367,9482,67310,9660,0
NV,6956,6175,16486,3277,0
NY,10664,24947,103142,14181,0
OH,175345,111119,455967,443598,13848
OK,78686,27572,80291,96759,2990
OR,15173,35889,200365,26457,0
PA,83795,105356,464062,146745,0
RI,843,3421,8721,729,109
SC,243172,78000,167297,102061,10685
SD,2074,6704,34033,5916,2797
TN,132146,49782,153893,204978,9390
TX,67888,172459,995949,114973,92512
VA,0,107480,158053,0,0
VT,4874,15094,23623,14071,1722
WI,45944,87896,346279,289648,15396
WV,6986,12263,77477,13408,1129
WY,0,13,294,161,60
WA,0,0,0,0,0
UT,0,0,0,0,0
